Data;Temperatura
2023-01-01;25,48
2023-01-02;25,43
2023-01-03;24,88
2023-01-04;25,17
2023-01-05;24,52
2023-01-06;24,38
2023-01-07;25,54
2023-01-08;25,99
2023-01-09;26,13
2023-01-10;26,18
2023-01-11;25,92
2023-01-12;26,49
2023-01-13;26,61
2023-01-14;24,49
2023-01-15;25,66
2023-01-16;25,40
2023-01-17;25,47
2023-01-18;25,84
2023-01-19;24,59
2023-01-20;24,04
2023-01-21;24,11
2023-01-22;22,03
2023-01-23;24,63
2023-01-24;25,12
2023-01-25;26,04
2023-01-26;23,35
2023-01-27;25,29
2023-01-28;23,26
2023-01-29;25,12
2023-01-30;25,41
2023-01-31;25,56
2023-02-01;25,72
2023-02-02;25,34
2023-02-03;25,27
2023-02-04;25,65
2023-02-05;25,16
2023-02-06;25,89
2023-02-07;25,98
2023-02-08;26,20
2023-02-09;26,02
2023-02-10;26,30
2023-02-11;26,13
2023-02-12;26,91
2023-02-13;27,48
2023-02-14;28,16
2023-02-15;27,25
2023-02-16;25,13
2023-02-17;25,13
2023-02-18;24,34
2023-02-19;25,14
2023-02-20;25,40
2023-02-21;26,08
2023-02-22;26,15
2023-02-23;26,33
2023-02-24;25,90
2023-02-25;26,48
2023-02-26;25,65
2023-02-27;25,98
2023-02-28;25,78
2023-03-01;25,57
2023-03-02;26,54
2023-03-03;26,55
2023-03-04;26,96
2023-03-05;27,22
2023-03-06;26,66
2023-03-07;26,29
2023-03-08;26,90
2023-03-09;26,61
2023-03-10;26,25
2023-03-11;25,34
2023-03-12;26,15
2023-03-13;26,97
2023-03-14;25,18
2023-03-15;24,07
2023-03-16;24,04
2023-03-17;24,69
2023-03-18;21,88
2023-03-19;24,36
2023-03-20;24,99
2023-03-21;22,59
2023-03-22;24,34
2023-03-23;25,07
2023-03-24;24,93
2023-03-25;26,02
2023-03-26;25,13
2023-03-27;24,99
2023-03-28;26,00
2023-03-29;24,55
2023-03-30;25,25
2023-03-31;26,17
2023-04-01;25,56
2023-04-02;26,09
2023-04-03;23,57
2023-04-04;23,53
2023-04-05;25,21
2023-04-06;25,40
2023-04-07;26,11
2023-04-08;25,99
2023-04-09;25,73
2023-04-10;24,55
2023-04-11;24,62
2023-04-12;25,87
2023-04-13;25,35
2023-04-14;25,06
2023-04-15;25,16
2023-04-16;26,50
2023-04-17;26,00
2023-04-18;26,15
2023-04-19;24,69
2023-04-20;26,15
2023-04-21;22,95
2023-04-22;25,39
2023-04-23;24,70
2023-04-24;25,00
2023-04-25;25,86
2023-04-26;24,18
2023-04-27;24,55
2023-04-28;24,65
2023-04-29;25,06
2023-04-30;24,33
2023-05-01;24,66
2023-05-02;25,11
2023-05-03;24,50
2023-05-04;25,31
2023-05-05;26,07
2023-05-06;25,24
2023-05-07;24,10
2023-05-08;24,83
2023-05-09;24,82
2023-05-10;25,51
2023-05-11;26,00
2023-05-12;25,31
2023-05-13;25,78
2023-05-14;26,20
2023-05-15;25,70
2023-05-16;25,32
2023-05-17;25,54
2023-05-18;25,70
2023-05-19;24,63
2023-05-20;22,90
2023-05-21;20,89
2023-05-22;21,45
